,p_e,phi,rho,te,s
468,0.000221388,1.3,0.9,32060.6978,10000
469,0.000221388,1.35,0.9,42275.20426,10000
470,0.000221388,1.4,0.9,55750.4334,10000
471,0.000221388,1.45,0.9,73529.37235,10000
472,0.000221388,1.5,0.9,96989.23636,10000
473,0.000221388,1,1,194.5936897,401.1457234
474,0.000221388,1.05,1,881.1950654,906.9756489
475,0.000221388,1.1,1,3086.882284,2275.300513
476,0.000221388,1.15,1,7267.447546,4464.387788
477,0.000221388,1.2,1,18308.59494,10000
478,0.000221388,1.25,1,24332.58245,10000
479,0.000221388,1.3,1,32087.62085,10000
480,0.000221388,1.35,1,42314.15988,10000
481,0.000221388,1.4,1,55805.99257,10000
482,0.000221388,1.45,1,73607.8257,10000
483,0.000221388,1.5,1,97099.15611,10000
484,0.00028854,1,0,193.1388817,401.9203756
485,0.00028854,1.05,0,193.1388817,401.9203756
486,0.00028854,1.1,0,193.1388817,401.9203756
487,0.00028854,1.15,0,193.1388817,401.9203756
488,0.00028854,1.2,0,193.1388817,401.9203756
489,0.00028854,1.25,0,193.1388817,401.9203756
490,0.00028854,1.3,0,193.1388817,401.9203756
491,0.00028854,1.35,0,193.1388817,401.9203756
492,0.00028854,1.4,0,193.1388817,401.9203756
493,0.00028854,1.45,0,193.1388817,401.9203756
494,0.00028854,1.5,0,193.1388817,401.9203756
495,0.00028854,1,0.1,193.1388817,401.9203756
496,0.00028854,1.05,0.1,653.519798,742.8317119
497,0.00028854,1.1,0.1,2379.311363,1853.375286
498,0.00028854,1.15,0.1,5638.004049,3612.78144
499,0.00028854,1.2,0.1,17061.98537,10000
500,0.00028854,1.25,0.1,22740.73402,10000
501,0.00028854,1.3,0.1,29872.38453,10000
502,0.00028854,1.35,0.1,39244.3303,10000
503,0.00028854,1.4,0.1,51568.72648,10000
504,0.00028854,1.45,0.1,67777.67379,10000
505,0.00028854,1.5,0.1,89097.65269,10000
506,0.00028854,1,0.2,193.1388817,401.9203756
507,0.00028854,1.05,0.2,719.4344728,788.4062675
508,0.00028854,1.1,0.2,2441.700798,1871.120837
509,0.00028854,1.15,0.2,5724.120405,3622.272716
510,0.00028854,1.2,0.2,17182.15344,10000
511,0.00028854,1.25,0.2,22922.03394,10000
512,0.00028854,1.3,0.2,30139.53625,10000
513,0.00028854,1.35,0.2,39629.90962,10000
514,0.00028854,1.4,0.2,52117.25828,10000
515,0.00028854,1.45,0.2,68549.92137,10000
516,0.00028854,1.5,0.2,90176.90952,10000
517,0.00028854,1,0.3,193.1388817,401.9203756
518,0.00028854,1.05,0.3,739.278314,801.4061356
519,0.00028854,1.1,0.3,2461.682625,1876.525958
520,0.00028854,1.15,0.3,5752.417509,3625.339886
521,0.00028854,1.2,0.3,17221.76976,10000
522,0.00028854,1.25,0.3,22981.83195,10000
523,0.00028854,1.3,0.3,30227.71495,10000
524,0.00028854,1.35,0.3,39757.25369,10000
525,0.00028854,1.4,0.3,52298.57611,10000
526,0.00028854,1.45,0.3,68805.45863,10000
527,0.00028854,1.5,0.3,90534.24566,10000
528,0.00028854,1,0.4,193.1388817,401.9203756
529,0.00028854,1.05,0.4,748.8450283,807.5483952
530,0.00028854,1.1,0.4,2471.619117,1879.173285
531,0.00028854,1.15,0.4,5766.584591,3626.862449
532,0.00028854,1.2,0.4,17241.63864,10000
533,0.00028854,1.25,0.4,23011.8467,10000
534,0.00028854,1.3,0.4,30271.9525,10000
535,0.00028854,1.35,0.4,39821.19396,10000
536,0.00028854,1.4,0.4,52389.60458,10000
537,0.00028854,1.45,0.4,68933.76347,10000
538,0.00028854,1.5,0.4,90713.70511,10000
539,0.00028854,1,0.5,193.1388817,401.9203756
540,0.00028854,1.05,0.5,754.5263498,811.1572517
541,0.00028854,1.1,0.5,2477.626679,1880.76498
542,0.00028854,1.15,0.5,5775.190211,3627.793422
543,0.00028854,1.2,0.5,17253.69466,10000
544,0.00028854,1.25,0.5,23030.0517,10000
